,fruit,fruit,fruit,sport,sport,sport,bird,bird,bird,vehicle,vehicle,vehicle,crime,crime,crime,vegetable,vegetable,vegetable
Timestamp,apple,fig,strawberry,football,hockey,wrestling,ostrich,wren,robin,boat,tricycle,car,embezzling,murder,vagrancy,parsley,carrot,onion
5/9/2017 12:59:10,1,4,2,1,1,2,3,1,1,6,7,1,1,1,6,5,1,2
5/9/2017 15:36:06,1,4,2,1,1,5,6,5,1,2,4,1,3,1,5,6,1,6
5/9/2017 15:39:50,1,4,5,1,3,4,6,1,1,6,4,1,3,1,7,3,4,3
5/9/2017 15:45:22,1,6,1,1,1,1,2,1,1,4,6,1,4,1,4,4,1,3
5/9/2017 15:48:03,7,4,5,7,5,6,3,4,6,5,2,7,7,7,3,7,7,5
5/9/2017 15:50:07,1,6,3,1,1,1,1,1,1,2,3,1,3,1,3,2,1,2
5/9/2017 16:25:41,1,5,1,1,3,5,6,2,1,3,5,1,3,1,7,1,2,3
5/9/2017 16:32:30,1,4,3,2,2,2,5,2,1,3,5,2,2,1,3,4,1,3
5/9/2017 16:57:49,1,1,1,1,1,4,3,1,1,1,6,1,1,1,1,5,1,4
5/9/2017 17:11:26,7,5,7,7,7,6,3,2,7,3,2,7,7,7,1,4,7,6
5/9/2017 17:20:50,1,1,1,1,1,1,1,1,1,4,6,1,2,1,7,6,1,1
5/9/2017 17:35:19,2,3,3,1,1,1,2,1,1,2,2,1,1,1,6,6,1,3
5/9/2017 18:37:19,1,5,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1
5/9/2017 18:46:28,1,4,2,1,3,5,5,1,1,4,6,1,3,1,6,6,1,2
5/9/2017 20:20:48,1,4,1,1,1,1,3,1,1,1,6,1,1,1,7,5,1,3
5/9/2017 20:20:52,1,3,2,1,2,3,3,2,1,2,3,1,2,1,6,5,1,3
5/9/2017 20:53:37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5/9/2017 20:56:24,1,5,1,2,3,3,4,3,1,4,5,1,2,1,4,4,1,3
5/9/2017 21:12:14,1,2,1,1,1,2,1,2,1,2,3,1,1,1,6,4,1,1
5/9/2017 21:43:52,1,2,1,1,1,2,1,1,1,1,2,1,2,1,7,1,1,1
